"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Degree","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","Built-in_MARS","MARS_earth",2,0.245054277179674,1.60397860844012,1.02353948945412
"Dataset 1 with Ref 1","SNV","Built-in_MARS","MARS_earth",2,0.470923434052016,1.34276487003289,0.912634858938119
"Dataset 1 with Ref 1","1st_Der","Built-in_MARS","MARS_earth",1,-6.30069491866039,4.98795822789336,1.71020409322949
"Dataset 1 with Ref 1","2nd_Der","Built-in_MARS","MARS_earth",1,-0.131768632052107,1.96390074091142,1.28175558337849
"Dataset 1 with Ref 1","EMSC","Built-in_MARS","MARS_earth",2,0.296531099307759,1.54832868169365,0.98380629166925
"Dataset 1 with Ref 1","RNV","Built-in_MARS","MARS_earth",1,-3.56561654252845,3.94448604633618,1.45884430238649
"Dataset 1 with Ref 2","Raw","Built-in_MARS","MARS_earth",1,0.154724745775249,1.69260246486925,1.01327612955008
"Dataset 1 with Ref 2","SNV","Built-in_MARS","MARS_earth",1,-0.0632877898863977,1.89837193536112,1.0604783247941
"Dataset 1 with Ref 2","1st_Der","Built-in_MARS","MARS_earth",2,-14.1939311164506,7.17614107799148,1.5931380512639
"Dataset 1 with Ref 2","2nd_Der","Built-in_MARS","MARS_earth",2,-0.500883041541129,2.25542981283844,1.16345977660976
"Dataset 1 with Ref 2","EMSC","Built-in_MARS","MARS_earth",1,-0.0258831245937108,1.86468223990434,0.961586268576101
"Dataset 1 with Ref 2","RNV","Built-in_MARS","MARS_earth",1,-0.314896418842407,2.11106527830882,1.32217302813694
"Dataset 1 with Ref 3","Raw","Built-in_MARS","MARS_earth",2,0.476571892104393,0.152470088145426,0.105628749503986
"Dataset 1 with Ref 3","SNV","Built-in_MARS","MARS_earth",2,0.503880249545075,0.14843946809601,0.10588513550308
"Dataset 1 with Ref 3","1st_Der","Built-in_MARS","MARS_earth",2,0.452909522858911,0.155878317264495,0.11142086452998
"Dataset 1 with Ref 3","2nd_Der","Built-in_MARS","MARS_earth",2,0.261192999247311,0.181143031771173,0.128909266528413
"Dataset 1 with Ref 3","EMSC","Built-in_MARS","MARS_earth",2,0.582547932781722,0.136163102769393,0.0957535430813854
"Dataset 1 with Ref 3","RNV","Built-in_MARS","MARS_earth",1,-10.0017832169376,0.699016895257063,0.198624766994129
"Dataset 1 with Ref 4","Raw","Built-in_MARS","MARS_earth",2,0.47695495444205,0.132052709003561,0.0919709069746393
"Dataset 1 with Ref 4","SNV","Built-in_MARS","MARS_earth",2,0.504211485586483,0.128565960707597,0.0903892146760354
"Dataset 1 with Ref 4","1st_Der","Built-in_MARS","MARS_earth",2,0.453316075902243,0.135003777403395,0.0962385221815508
"Dataset 1 with Ref 4","2nd_Der","Built-in_MARS","MARS_earth",2,0.261716858675378,0.156887825768004,0.112472759069667
"Dataset 1 with Ref 4","EMSC","Built-in_MARS","MARS_earth",2,0.582816755659873,0.117934588830639,0.08370207982634
"Dataset 1 with Ref 4","RNV","Built-in_MARS","MARS_earth",1,-9.99382654514318,0.605413650529704,0.178401363053781
"Dataset 2 with Ref 1","Raw","Built-in_MARS","MARS_earth",2,0.250690956277648,1.5979794672325,0.989604646933277
"Dataset 2 with Ref 1","SNV","Built-in_MARS","MARS_earth",1,0.356789155878079,1.48053059472142,0.951023121490034
"Dataset 2 with Ref 1","1st_Der","Built-in_MARS","MARS_earth",1,-19.0804802559596,8.27232817618576,2.09371074067787
"Dataset 2 with Ref 1","2nd_Der","Built-in_MARS","MARS_earth",1,0.183212504765238,1.66838104723071,1.13855593842992
"Dataset 2 with Ref 1","EMSC","Built-in_MARS","MARS_earth",2,-0.425993287426902,2.20444591506305,1.17456342508796
"Dataset 2 with Ref 1","RNV","Built-in_MARS","MARS_earth",1,0.30295920248288,1.54123834870272,1.05677025010363
"Dataset 2 with Ref 2","Raw","Built-in_MARS","MARS_earth",1,0.119687871948054,1.72732569739688,0.983078418364888
"Dataset 2 with Ref 2","SNV","Built-in_MARS","MARS_earth",2,0.274760679909164,1.56782130779168,0.76992683429861
"Dataset 2 with Ref 2","1st_Der","Built-in_MARS","MARS_earth",2,-3.79111150155871,4.02971220358499,1.3061006569739
"Dataset 2 with Ref 2","2nd_Der","Built-in_MARS","MARS_earth",1,-0.0189669855387482,1.85838609823367,1.01438027286945
"Dataset 2 with Ref 2","EMSC","Built-in_MARS","MARS_earth",2,-1.94446322279377,3.15906788543083,1.249298029739
"Dataset 2 with Ref 2","RNV","Built-in_MARS","MARS_earth",2,0.0744584295123361,1.77114393525171,0.982345396158567
"Dataset 2 with Ref 3","Raw","Built-in_MARS","MARS_earth",2,0.450231991182647,0.156259296033734,0.109741093669743
"Dataset 2 with Ref 3","SNV","Built-in_MARS","MARS_earth",1,0.682387854292886,0.118769432699596,0.0830521858813362
"Dataset 2 with Ref 3","1st_Der","Built-in_MARS","MARS_earth",1,0.521733507510433,0.145744142292387,0.106738215260007
"Dataset 2 with Ref 3","2nd_Der","Built-in_MARS","MARS_earth",1,0.358638198085686,0.168774828965899,0.116541798928946
"Dataset 2 with Ref 3","EMSC","Built-in_MARS","MARS_earth",1,-4.58761914040115,0.49816077615023,0.187795696220048
"Dataset 2 with Ref 3","RNV","Built-in_MARS","MARS_earth",2,0.295058938694561,0.176942653240013,0.114274879355443
"Dataset 2 with Ref 4","Raw","Built-in_MARS","MARS_earth",2,0.450631934236424,0.135334796426462,0.0968372255290646
"Dataset 2 with Ref 4","SNV","Built-in_MARS","MARS_earth",1,0.682599561288795,0.102868292244141,0.0725323931433801
"Dataset 2 with Ref 4","1st_Der","Built-in_MARS","MARS_earth",1,0.522076860751052,0.126228318689753,0.0915484798108223
"Dataset 2 with Ref 4","2nd_Der","Built-in_MARS","MARS_earth",1,0.359099810443667,0.146174954952883,0.100531372586068
"Dataset 2 with Ref 4","EMSC","Built-in_MARS","MARS_earth",1,-4.58358579395845,0.431453866668981,0.152572564027565
"Dataset 2 with Ref 4","RNV","Built-in_MARS","MARS_earth",2,0.295574241017379,0.153248200281603,0.0987877264014266
"Dataset 3 with Ref 1","Raw","Built-in_MARS","MARS_earth",2,-0.216812515368649,2.0363505464835,1.12644783068673
"Dataset 3 with Ref 1","SNV","Built-in_MARS","MARS_earth",2,0.232639706519452,1.6171130025329,1.07175931653513
"Dataset 3 with Ref 1","1st_Der","Built-in_MARS","MARS_earth",2,0.232402968940302,1.61736243027792,1.09445056741407
"Dataset 3 with Ref 1","2nd_Der","Built-in_MARS","MARS_earth",2,-0.0235075464670731,1.8676101780967,1.15446564007609
"Dataset 3 with Ref 1","EMSC","Built-in_MARS","MARS_earth",2,0.208172070646438,1.64269189965672,1.07647763490783
"Dataset 3 with Ref 1","RNV","Built-in_MARS","MARS_earth",2,0.27365631223469,1.57330089913046,0.94159311366988
"Dataset 3 with Ref 2","Raw","Built-in_MARS","MARS_earth",2,0.163874974067029,1.68341620190641,0.997171204842186
"Dataset 3 with Ref 2","SNV","Built-in_MARS","MARS_earth",2,0.0085005595506884,1.83316741183941,0.91595823680075
"Dataset 3 with Ref 2","1st_Der","Built-in_MARS","MARS_earth",1,-10.8011755788659,6.32438831246477,1.43208181277465
"Dataset 3 with Ref 2","2nd_Der","Built-in_MARS","MARS_earth",2,-0.270499632966041,2.07511974815356,1.06095162270556
"Dataset 3 with Ref 2","EMSC","Built-in_MARS","MARS_earth",2,0.0259389815997934,1.8169750892385,0.933881279168009
"Dataset 3 with Ref 2","RNV","Built-in_MARS","MARS_earth",2,0.106161337694649,1.74054581508822,0.927014937980592
"Dataset 3 with Ref 3","Raw","Built-in_MARS","MARS_earth",1,0.476262807471186,0.152515098344157,0.11002560486723
"Dataset 3 with Ref 3","SNV","Built-in_MARS","MARS_earth",2,0.581120026110207,0.136395778853738,0.0981356398498312
"Dataset 3 with Ref 3","1st_Der","Built-in_MARS","MARS_earth",2,0.502636702535274,0.148625386847997,0.108230476417196
"Dataset 3 with Ref 3","2nd_Der","Built-in_MARS","MARS_earth",2,0.176540225508022,0.191239379402078,0.126376655735357
"Dataset 3 with Ref 3","EMSC","Built-in_MARS","MARS_earth",2,0.581253133210337,0.136374105951895,0.0918885747471294
"Dataset 3 with Ref 3","RNV","Built-in_MARS","MARS_earth",1,0.37469210384081,0.166649144138795,0.111025272111285
"Dataset 3 with Ref 4","Raw","Built-in_MARS","MARS_earth",1,0.47663902624562,0.132092584035999,0.094131737400876
"Dataset 3 with Ref 4","SNV","Built-in_MARS","MARS_earth",2,0.581404688880714,0.118134010592871,0.0845431850854316
"Dataset 3 with Ref 4","1st_Der","Built-in_MARS","MARS_earth",2,0.502973903786716,0.128726323159973,0.0923246804410185
"Dataset 3 with Ref 4","2nd_Der","Built-in_MARS","MARS_earth",2,0.177142843954375,0.16563037831894,0.108699027594003
"Dataset 3 with Ref 4","EMSC","Built-in_MARS","MARS_earth",2,0.581541625267959,0.11811468623901,0.0791572845741959
"Dataset 3 with Ref 4","RNV","Built-in_MARS","MARS_earth",1,0.375146577217724,0.144333400990804,0.0952189173833426
